place_name,keywords,data_type,theme_id,open_info,fee,info,contact,address,coordinate_y,coordinate_x,주차
구로리어린이공원,힐링,tour,1,"연중무휴 - 동절기(11월~2월) 09:00~18:00<br>
- 하절기(3월~10월) 09:00~20:00","입 장 료:무료
이용가능시설:운동기구 / 트램펄린 / 놀이터 등
화장실:있음

","구로리공원은 서울시 구로구 구로동에 위치한 어린이 공원이다. 기존의 단조롭고 노후된 어린이 공원을 창의력을 키울 수 있는 공원으로 새롭게 단장하여 조성되었다. 어린이가 이용할 수 있는 다양한 시설과 조경을 갖추고 있다. 어린이전용 공원으로 운영되고 있어, 어린이 및 보호자 외 출입을 금지한다.",구로구 공원녹지과 02-860-2396,서울특별시 구로구 구로중앙로 13 (구로동),37.4914308667,126.8918449243,가능
문래근린공원,힐링,tour,1,연중무휴 상시 개방,"화장실:있음
주차요금:1회 주차 시 5분당 250원
","서울시 영등포구 문래동에 있는 근린공원으로 주변에 문래역 1번 출구와 아파트 단지들이 있다. 공원 내에는 문래동의 유래가 되었던 물레의 조형물이 있으며, 건너편에는 있는 문래예술창작촌이 있다. 1961년 5·16 군사 정변의 발상지인 육군 제6관구 사령부가 주둔했었던 역사가 남아있는 장소로 공원 동편에는 당시 육군 소장이었던 박정희 前 대통령의 흉상이 있다.",영등포구청 정원도시과 02-2670-3764,서울특별시 영등포구 문래동3가61,37.5171529174,126.8940134482,가능
마루공원,힐링,tour,1,연중무휴 상시 개방,"입 장 료:무료		

화장실:있음

이용가능시설:놀이터		

","강남구 일원동에 있는 마루공원은 주차가 가능한 공원으로 반려견과 함께 산책하기 좋은 곳이다. 날씨가 좋을 때는 다수의 방문객이 공원에 설치된 그늘막 아래쪽에서 텐트와 의자를 펼치고 쉬는 모습을 볼 수 있다. 공원 내에는 2개의 놀이터 구역이 있는데 한 곳은 미끄럼틀과 그네가 있는 일반 놀이터이고, 또 다른 구역은 여러 종류의 도로 교통 표지판들이 나열되어 있어 교통안전 교육과 더불어 기차, 자동차 등을 타고 놀 수 있는 공간으로 구성되어 있으며, 놀이터 바닥이 푹신푹신하게 되어 있어 어린이들이 넘어져도 다치지 않고 안전하게 뛰어놀 수 있다.",02-3411-9890,서울특별시 강남구 일원동,37.4965531025,127.0808164645,가능
금천 체육공원,"힐링, 액티비티",tour,1,연중무휴 상시 개방,"이용가능시설:황토길 / 지압로 / 분수 등
화장실:있음
","서울 금천구 주민들의 건강을 위해 체육시설을 잘 갖추어 놓은 공원이다. 하루 이용객이 약 1,300여 명으로 금천구에서 가장 활성화된 대표적인 다목적 공원으로, 농구장, 배드민턴장, 게이트볼장, 조합놀이대 시설과 광장, 야외무대, 정자 등이 설치되어 있다. 새벽에는 운동하는 사람들이, 낮에는 어린이 놀이터에서 뛰어노는 어린이들이, 휴게공간에는 휴식을 취하는 노인층이, 저녁 시간에는 에어로빅 및 저녁 운동을 하는 사람들이 이곳에 와서 다양한 연령층이 공원을 애용하고 있다. 또한 다목적구장은 각종 행사 및 운동 공간으로 활용되기도 한다. 공원 옆에는 어린이들의 놀이터 겸 체험장인 ‘베짱이 유아 숲’이 있다.",금천구 공원녹지과 02-2627-1662,서울특별시 금천구 독산로54길 102-27 (독산동),19.6944274800,117.9925662504,불가능
금천 폭포공원,힐링,tour,1,연중무휴 상시 개방,"화장실:있음
이용가능시설:인공폭포 / 공원시설 / 전망대 등 
","금천 폭포공원은 서울시 서남부에 있는 총 4,835㎡ 규모의 공원이다. 경기도에서 서울 도심으로 진입하는 관문 성격의 교통 요충지로 박미 고갯길의 자연 지형을 이용하여 경사면에 인공폭포를 조성했으며 상부는 문화회관과 공원시설을, 하부는 연못 형태의 수조가 있는 공원이다. 인공폭포의 3개 물줄기는 금천구의 가산동, 독산동, 시흥동 3개 동을 상징한다.",금천구 공원녹지과 02-2627-1659,서울특별시 금천구 시흥대로38길 61 (시흥동),37.4464529821,126.9044811476,불가능
독산 근린공원,힐링,tour,1,연중무휴 상시 개방,"입 장 료:무료
화장실:있음
이용가능시설:공원시설 / 잔디축구장 / 운동장 등
","서울 금천구 독산1동에 있는 근린공원으로, 산책로와 운동 시설이 갖추어진 소규모 공원이다. 안양천이 길 건너에 바로 있어 함께 이용해도 좋다. 공원 중앙에는 2017년에 조성된 16,528㎡ 규모의 대형 인조잔디축구장이 울창한 나무들로 둘러싸여 축구 동호회 인들에게 인기가 높다. 대관 예약 시간 이후에는 주민들에게 개방되어 어린이들도 안전하게 뛰어놀 수 있다. 축구장 외에도 게이트볼장과 배드민턴장 5면을 비롯해 안양천변을 낀 산책로와 운동 시설을 갖추고 있다.",금천구 공원녹지과 02-2627-1659,서울특별시 금천구 범안로 1096 (독산동),37.4633256748,126.8849491194,불가능
쌈지 어린이공원,힐링,tour,1,연중무휴 상시 개방,"입 장 료:무료
","쌈지 어린이공원은 서울 금천구 독산4동 주택가 가운데 위치한 982㎡ 면적의 어린이 전용 공원으로 상상 공원이라고도 불린다. 미끄럼틀에 붙은 작은 시설부터 계단 옆에 마련된 대형 암벽 등반대까지 어린이들의 근육 단련 훈련을 마음껏 해 볼 수 있는 공간이다. 크기와 길이도 색다른 여러 종류의 미끄럼틀과 점핑 공간, 에너지 자전거 등 놀 거리가 다양하다.",금천구 공원녹지과 02-2627-1654,서울특별시 금천구 독산로76길 47,37.4702973029,126.8970561551,불가능
긴고랑공원,힐링,tour,1,연중무휴 상시 개방,"입 장 료:무료
화장실:있음

","서울 광진구 아차산 인근에 위치한 근린공원으로 긴고랑길, 주몽교 등 여러 산책코스로 구성되어 있다. 아차산 안심 둘레길 구간으로 인근 주민 및 등산객들이 많이 이용하는 공원이다. 아차산과 용마산 계곡 길이 만나는 곳의 중곡동 언덕진 동네에서 벽화를 감상하며 걸을 수 있는 긴고랑길을 걷다 보면 산 입구에 다다르게 된다. ‘용마산·아차산 종합안내’와 ‘긴고랑길 아트투어’ 안내도가 설치되어 있어 이용하기 편리하다. 공원 전 구역에서 오토바이와 자전거는 출입을 금지하고 있다. 5호선 아차산역 1번 출구에서 중곡4동 주민센터 근처까지 도보로 17분 정도 걸리고, 5호선 군자역 4번 출구에서 도보로 18분 정도 소요된다.",광진구 공원녹지과 02-450-7770,서울특별시 광진구 긴고랑로 143 (중곡동),37.5589071568,127.0910359861,가능
코엑스동측광장,핫플레이스,tour,1,연중무휴 상시 개방,"촬영장소:K-Pop ‘강남스타일’ 촬영지
주차요금:- 승용차 15분당 1,500원<br>
- 화물차(2.5t 이상) 15분당 3,000원<br>
- 대형버스 이용불가<br>
※ 자세한 사항은 홈페이지 참조 요망
입 장 료:무료
","삼성역 트레이드 타워(무역센터)를 시작으로 코엑스 컨벤션센터를 지나 아셈타워에 이르는 보도 변 긴 광장을 말한다. 동측 광장의 다른 이름은 코엑스 어반파크(Coex Urban Park)라고 해서 K팝 공연, 야외 영화제 등 다양한 행사가 연중 수시로 열리고 있다. 이곳 코엑스 일대는 K-Pop ‘강남스타일’의 촬영지로 전 세계를 말춤 열풍으로 달구면서 강남을 전 세계에 알렸던 강남스타일 랜드마크로 ‘세계는 하나’라는 글로벌 마인드를 부각한 높이 5m, 폭 8m에 달하는 ‘말춤’ 청동 조형물도 설치되어 있어 세계적인 관광 명소로도 주목받고 있다.",02-6000-0114,서울특별시 강남구 영동대로 513 (삼성동),37.5119175967,127.0592179950,가능
송파구자원순환공원,힐링,tour,1,"연중무휴 - 공원 상시 개방<br>
- 홍보관 10:00~17:00","화장실:있음
이용가능시설:공원 시설 / 홍보관 / 아트트릭 포토존 등

입 장 료:무료
","서울 송파구 장지동에 있는 5개 동 40,024.87㎡ 규모의 자원순환공원은 종합폐기물 처리시설을 갖춘 현대식 건물과 공원으로 조성해 놓은 테마공원이다. 장지동 일대 재활용 쓰레기, 음식물 처리시설과 대형 폐기물 및 생활 폐기물 처리시설을 갖춘 곳으로, 첨단 시설 처리 시스템을 도입하고 친환경 테마공원으로 조성하여 각종 체험 프로그램도 운영해 주민 친화적인 공간으로 이용되고 있다. 자원순환 홍보관에서는 자원순환과 환경보전의 중요성을 일깨워 주는 상시 체험과 전시공간이 있다.",송파구 자원활용과 02-2147-6380,서울특별시 송파구 헌릉로 793 (장지동),37.4717789656,127.1233521867,가능
올림픽공원피크닉장,힐링,tour,1,연중무휴 상시 개방,"입 장 료:무료 

주차요금:[소형]<br>
- 10분당 600원<br>
- 일 최대 20,000원<br>
[대형(24인승, 2.5톤이상)]<br>
- 10분당 1,200원<br>
- 일 최대 24,000원<br>
※ 자세한 사항은 홈페이지 참조 요망
",서울 송파구 올림픽공원 몽촌 토성을 올라가는 길에 조성된 넓은 잔디광장이다. 올림픽공원은 어디든 산책하고 쉴 수 있는 곳이지만 이곳은 돗자리를 깔고 아이들과 마음껏 뛰어놀 수 있는 공간이다. 가족 단위 나들이객과 야외에서 데이트하고 싶어 하는 젊은 남녀들이 많이 찾는다. 멋진 자연의 풍광을 담을 수 있는 사진 촬영 인기 지역이기도 하다. 배달 음식을 주문해서 먹을 수도 있다. 서울 도심에서 누워 하늘을 볼 수 있는 깨끗하고 정비가 잘 된 공원이다. 피크닉장에서 가장 가까운 주차장은 올림픽공원 서 2문 주차장이다.,02-410-1114,서울특별시 송파구 올림픽로 424 (방이동),37.5206092598,127.1150682209,가능
헬로애니멀,액티비티,tour,1,연중무휴 10:30~19:00 (입장 마감 18:00),"입 장 료:13,000원

","서울 도봉구 1호선 방학역 중랑천변에 위치한 실내 동물원이다. 작고 귀여운 파충류, 조류 등 50여 종의 작은 동물들이 있으며, 전문 사육사와 함께 동물들에 관해 설명을 들을 수 있고, 가까이에서 보고 만지면서 교감하고, 직접 먹이를 주며 관찰할 수 있다. 빌딩 지하에 주차공간이 있고 주말에는 도봉구청 주차장도 이용할 수 있다.",02-955-6619,서울특별시 도봉구 마들로 650 (방학동),37.6680825612,127.0470813263,가능
방배배수지체육공원,"힐링, 액티비티",tour,1,"연중무휴 - 공원 상시 개방<br>
- 축구장, 풋살장 07:00~22:00","화장실:있음
시설이용료:[축구장]<br>
- 평일(주간) 1시간 34,000원<br>
- 평일(야간) 1시간 44,200원<br>
- 주말/공휴일 44,200원<br>
[풋살장]<br>
- 평일(주간) 1시간 4,000원<br>
- 평일(야간) 1시간 5,200원<br>
- 주말/공휴일 1시간 5,200원<br>
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망
이용가능시설:축구장 / 풋살장 / 배드민턴장 등
","서울 서초구 사당역 방배래미안 아파트 건너편에 있는 방배체육공원은 앞으로는 매봉재산과 뒤로는 우면산을 사이에 두고 울창한 숲 속에 있는 30,353㎡ 규모의 체육공원이다. 방배체육공원으로도 불리며, 공원 전체가 금연/금주 구역이다. 인조 잔디가 깔린 축구장, 풋살구장, 실내 배드민턴 코트도 있으며 야간 조명시설도 갖췄다. 시설은 서울시 공공서비스예약(yeyak.seoul.go.kr) 사이트를 통해 예약, 이용할 수 있다. 여성축구교실, 유아축구교실, 서초홍명보어린이축구교실, 서초리틀야구단 프로그램이 운영되고 있다.",서초구 체육진흥과 02-2155-6211,서울특별시 서초구 남부순환로296길 4-9 (방배동),19.6944274800,117.9925662504,가능
빨래골,액티비티,tour,1,연중무휴 상시 개방,"이용가능시설:마을 / 식당 / 편의점 등

입 장 료:무료

화장실:있음

주차요금:- 5분당 200원<br>
- 일 주차요금 10,000원<br>
- 월정기 120,000(전일)
",빨래골은 서울시 강북구 수유동 일대의 마을로 삼각산 동쪽 골짜기에 물이 많고 맑아서 빨래터와 쉼터로 이용하던 것에서 유래된 이름이다. 이곳은 북한산이 시내 쪽으로 쭉 뻗쳐 내려온 칼바위능선 골짜기에 해당하는 곳이다. 골짜기 안쪽에 삼성암이라는 암자가 있고 왼편 산자락에는 아주 특이한 모습의 묘비가 세워져 있는 공초 임상순 선생의 무덤이 자리 잡고 있다. 2016년부터 ‘옛터 빨래골축제’가 개최되는 등 지금도 통용되고 있는 지명이다. 지하철 4호선 수유역 3번 출구 앞에서 03번 버스 타고 빨래골 종점에서 내려 안쪽으로 200여 미터 거리에 있다.,강북구 문화관광과 02-901-6200,서울특별시 강북구 수유동 산127-1,37.6484562534,127.0019471132,가능
서울성북 미디어문화마루,문화 예술,tour,1," 05:30~22:00<br>
※ 시설별 상이하므로 전화 문의",,"서울성북 미디어문화마루는 서울시와 성북구가 기초편익시설이 부족한 서울 동북권 지역에 지역주민을 위한 도서관, 공연장, 수영장 등 문화복합시설을 제공하고, 미디어의 중요성이 대두하는 시대 흐름에 맞춰 미디어 교육 및 창업 지원이 가능한 미디어 거점 공간으로 설립한 복합문화시설이다. 지하 2층에서 지상 4층까지 연면적 9,484㎡ 규모로 지하 1층에는 생활체육시설(물빛수영장)이 지상 1층부터 3층까지는 공공도서관(글빛도서관)과 서울시청자미디어센터, 지상 4층에는 320여 객석 규모의 공연장(꿈빛극장)이 있다. 지하철 4호선 길음역 1번 출구 도보 5분 거리다.",- 글빛도서관 02-6956-0559<br>- 물빛수영장 02-2241-0151<br>- 꿈빛극장 02-6953-3201<br>- 서울시청자미디어센터 02-6949-2380<br>- 미디어랩 02-6949-2393,서울특별시 성북구 길음로7길 20 (길음동),37.6038090327,127.0222187566,
윤극영가옥,역사 탐방,tour,1,"매주 월요일 / 설·추석 당일 - 화요일~토요일 10:00~18:00<br>
- 일요일 10:00~17:00","입 장 료:무료
","서울특별시에선 근현대 문화유산 중 미래 세대에게 전달할만한 가치가 있는 보물을 ‘서울 미래유산’으로 선정·관리하고 있다. 국립 4·19 민주묘지, 문익환 가옥 등이 여기에 꼽혔는데, 윤극영 가옥은 그 가운데 가장 먼저 선정됐다는 점에서 각별한 의미를 지닌다. 1920~30년대에 활발하게 활동했던 윤극영은 동요 ‘반달’, ‘설날’, ‘우산 셋이 나란히’, ‘고드름’ 등을 작곡했다. 우리나라 최초의 동요집인 ‘반달’을 제작해 '반달 할아버지'로도 불린다. 생전에 그가 머물렀던 가옥은 현재 반달 문화원으로 쓰이며 방문객들을 반갑게 맞이한다. 윤극영의 유품들이 전시된 공간은 오랜 세월의 흔적이 더해져 마치 할아버지댁에 온 것처럼 마음이 편안해진다. 은은하게 흐르는 동요 멜로디는 어린 시절 추억을 떠올리게 만든다.",070-8992-9720,서울특별시 강북구 인수봉로84길 5 (수유동),37.6465233063,127.0108963517,불가능
우면산 소망탑,"힐링, 치유/명상",tour,1,연중무휴 상시 개방,"입 장 료:무료
","서울 서초구와 경기도 과천시의 경계를 이루는 우면산은 소가 잠자는 모습을 닮았다고 해서 붙여진 이름이다. 우면동과 서초동, 양재동 등 도심에서 쉽게 오를 수 있는 산이라 새벽부터 늦은 밤까지 등산객들의 발길이 끊이지 않는다. 굳이 등산화가 필요 없을 만큼 경사도 완만한 편이라 초보 등산객들에게 특히 사랑받는 코스다. 성인 기준으로 대부분 1시간 남짓이면 정상인 소망탑까지 오를 수 있다. 우면산 소망탑은 이곳을 찾은 사람들이 각자의 소망을 담아 하나둘 돌을 올리기 시작한 것이 지금과 같은 큰 돌탑이 되었다. 소망탑 근처에 조성된 전망대는 우수경관 조망명소로 선정될 만큼 탁월한 전망을 자랑한다. 이곳에서 바라보는 야경은 손에 꼽을 만큼 화려하게 반짝인다. 선사시대 유적인 지석묘를 비롯해 백제 시대 사찰인 대성사 등 다양한 역사유적도 자리한다.",서초구 푸른도시과 02-2155-6883,서울특별시 서초구 서초동 419-3,37.4820092204,127.0181503561,가능
연남동끝자락길,"힐링, 핫플레이스",tour,1,점포별 상이 점포별 상이,,"이름 그대로 연남동 끝자락에 자리한 이곳은 한때 피난길로 불렸다. 좁은 골목들이 얽히고설킨 이 동네가 지닌 정겨움에 매료된 젊은이들이 모여 연남동 끝자락길을 만들었다. 자신만의 브랜드를 사랑하는 이색 가게들로 채워진 거리다. 카페와 찻집, 디저트 숍, 식당 등 개성 넘치는 가게들을 둘러보는 재미가 쏠쏠하다.",마포관광정보센터 02-334-7878,서울특별시 마포구 성미산로17길(연남동),37.5660143173,126.9170794124,불가능
